YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2022,1,18,3.29,4.69,0.52,251.9,58,81.92,0.83,0.16,8.09
2022,1,19,3.1,4.45,0.48,259.66,53.81,76.08,0.8,0.16,7.41
2022,1,20,2.22,4.03,0.34,269.7,39.43,67.4,0.62,0.12,5.52
2022,1,21,2.11,3.88,0.33,263.03,36.45,64.66,0.55,0.11,4.98
2022,1,22,2.36,4.56,0.36,257.17,41.79,77.44,0.62,0.12,5.95
2022,1,23,1.63,3.59,0.25,261.55,27.62,56.7,0.38,0.08,3.73
2022,1,24,2.69,3.97,0.41,251.55,44.79,64.36,0.65,0.12,5.97
2022,1,25,2.33,4.01,0.35,255.77,39.15,64.64,0.55,0.11,5.25
2022,1,26,2.46,3.76,0.37,249.75,40.51,59.34,0.53,0.1,5.24
2022,1,27,3.04,4.02,0.45,233.01,48.46,63.08,0.58,0.12,6.27
2022,1,28,2.91,4.43,0.43,233.33,48.66,72.84,0.62,0.12,6.46
2022,1,29,3.88,4.35,0.57,227.52,62.47,70.77,0.84,0.16,7.98
2022,1,30,2.55,4.65,0.38,260.01,44.09,77.33,0.65,0.12,5.94
2022,1,31,3.46,4.37,0.5,257.77,58.49,72.79,0.84,0.16,7.63
2022,2,1,1.75,3.92,0.25,264.31,29.91,63.25,0.43,0.09,3.88
2022,2,2,3.29,3.97,0.47,236.73,53.46,63.48,0.62,0.12,6.48
2022,2,3,2.79,4.62,0.4,265.59,48.47,78.06,0.67,0.13,6.52
2022,2,4,0.79,4.41,0.11,246.01,15.3,73.16,0.16,0.03,2.09
2022,2,5,2.39,5,0.34,242.14,42.38,84.03,0.51,0.1,5.89
2022,2,6,5.14,5.56,0.72,214.37,88.01,95.27,1.17,0.23,11.97
2022,2,7,3.31,5.3,0.46,248.93,57.59,90.5,0.84,0.16,7.89
2022,2,8,2.41,5.04,0.34,253.37,42.22,83.5,0.61,0.12,5.75
2022,2,9,2.67,5.13,0.37,261.62,47.77,87.23,0.82,0.16,6.56
2022,2,10,2.82,4.61,0.38,259.97,47.9,75.42,0.8,0.16,6.54
2022,2,11,2.96,5.42,0.4,261.28,52.23,91.86,0.89,0.17,7.32
2022,2,12,4.89,5.71,0.66,220.2,82.56,95.57,1.06,0.21,11.18
2022,2,13,4.65,5.38,0.62,236.96,79.49,91.31,1.1,0.22,10.6
2022,2,14,4.53,5.66,0.6,243.73,78,96.51,1.18,0.23,10.64
2022,2,15,3.96,5.71,0.52,253.13,69.3,98.29,1.09,0.22,9.61
2022,2,16,3.94,5.68,0.52,259.74,68.61,96.6,1.12,0.22,9.55
2022,2,17,2.99,5.76,0.39,277.43,53.54,98.69,0.91,0.18,7.62
2022,2,18,3.51,5.99,0.45,276.79,62.69,103.15,1.16,0.23,8.98
2022,2,19,3.58,5.9,0.46,270.06,63.46,101.54,1.02,0.2,8.9
2022,2,20,2.66,5.38,0.34,264.81,47.16,90.09,0.66,0.13,6.41
2022,2,21,3.23,5.52,0.41,241.33,56.65,94,0.7,0.14,7.67
2022,2,22,3.71,5.64,0.47,237.09,64.16,95.85,0.9,0.18,8.64
2022,2,23,3.48,5.84,0.44,254.09,62.04,100.44,1.02,0.2,8.71
2022,2,24,3.7,5.83,0.46,259.52,65.23,99.66,1.04,0.2,8.98
2022,2,25,2.75,4.91,0.34,257.39,46.45,79.48,0.58,0.12,5.87
2022,2,26,4.17,5.89,0.51,251.2,71.73,99.84,1.03,0.2,9.81
2022,2,27,3.63,5.73,0.44,264.34,64.23,97.7,0.96,0.19,8.75
2022,2,28,3.57,6.04,0.43,264.3,62.41,102.05,0.99,0.2,8.69
2022,3,1,4.26,6.21,0.51,255.43,74.93,106.84,1.21,0.24,10.32
2022,3,2,4.21,6.04,0.5,259.57,73.56,102.38,1.22,0.24,10.12
2022,3,3,3.62,6.19,0.43,273.62,65.07,106.3,1.16,0.23,9.06
2022,3,4,5.43,6.45,0.64,265.77,95.55,112.07,1.7,0.34,13.15
2022,3,5,5.22,6.58,0.61,255.41,91.59,113.16,1.6,0.31,12.69
2022,3,6,6.18,6.65,0.72,239.13,106.5,113.77,1.82,0.36,14.52
2022,3,7,6.4,6.85,0.74,250.58,113.7,120.61,2.07,0.41,15.8
2022,3,8,6.44,6.97,0.74,245.14,114.8,123.25,2.09,0.41,16.05
2022,3,9,5.81,6.9,0.66,248.97,102.7,120.59,1.77,0.35,14.3
2022,3,10,5.97,6.86,0.68,251.66,105.25,119.67,1.77,0.35,14.48
2022,3,11,6.04,6.82,0.68,250.14,106.81,119.23,1.97,0.38,14.7
2022,3,12,6.02,6.81,0.68,243.97,104.5,116.58,1.83,0.36,14.34
2022,3,13,5.71,6.44,0.64,249.01,100.59,112.04,1.74,0.34,13.57
2022,3,14,5.97,6.71,0.66,261.35,107.43,119.63,2.02,0.39,14.79
2022,3,15,5.83,6.62,0.65,264.02,104.67,117.68,1.89,0.38,14.36
2022,3,16,5.48,6.56,0.6,272.49,98.82,116.6,1.87,0.37,13.42
2022,3,17,5.84,6.73,0.64,271.12,103.6,117.83,1.89,0.37,14.04
2022,3,18,6.43,6.74,0.7,276.95,112.83,117.78,2.11,0.41,15.3
2022,3,19,5.08,6.31,0.55,291.2,90.32,111.23,1.66,0.33,12.16
2022,3,20,4.15,6.47,0.45,316.66,75.08,112.95,1.4,0.27,10.24
2022,3,21,4,6.36,0.43,302.98,71.2,110.07,1.16,0.23,9.52
2022,3,22,3.99,6.18,0.42,314.07,72.02,106.88,1.2,0.24,9.52
2022,3,23,3.07,6.06,0.33,309.65,55.65,103.95,0.95,0.19,7.31
2022,3,24,4.26,6.87,0.45,302.78,76.34,119.01,1.43,0.28,10.47
2022,3,25,3.99,7.02,0.42,305.93,71.8,123.55,1.38,0.27,10.04
2022,3,26,3.58,6.98,0.38,303.7,65.37,122.39,1.23,0.24,9.16
2022,3,27,4.6,7,0.48,293.9,82.32,121.6,1.48,0.3,11.38
2022,3,28,3.48,6.69,0.36,305.35,64.02,116.8,1.22,0.24,8.76
2022,3,29,4.78,7.24,0.49,299.76,86.67,127.3,1.73,0.34,12.3
2022,3,30,3.85,7.28,0.4,315.92,70.95,128.95,1.48,0.29,10.16
2022,3,31,3.93,7.26,0.4,314.98,73.23,129.14,1.58,0.31,10.52
2022,4,1,4.48,7.19,0.45,314.53,82.78,127.85,1.76,0.34,11.74
2022,4,2,3.84,6.2,0.39,306.45,66.36,103.98,1.23,0.24,8.64
2022,4,3,3.07,5.92,0.31,323.24,54.41,98.48,1,0.2,7.05
2022,4,4,3.75,7.15,0.38,314.5,68.09,123.98,1.43,0.28,9.5
2022,4,5,4.56,7.37,0.45,309.32,83.14,128.88,1.71,0.34,11.75
2022,4,6,4.03,6.82,0.4,307.68,72.23,117.16,1.45,0.29,9.91
2022,4,7,3.73,6.96,0.38,311.88,68.55,121.29,1.41,0.28,9.53
2022,4,8,2.49,6.39,0.25,317.26,45.23,106.65,0.91,0.18,6.04
2022,4,9,3.25,6.82,0.32,301.27,59.23,116.71,1.19,0.23,7.83
2022,4,10,2.78,6.27,0.27,306.42,50.26,104.64,0.93,0.19,6.55
2022,4,11,5.28,7.39,0.52,283.63,94.49,128.21,1.73,0.34,12.84
2022,4,12,4.74,6.8,0.46,301.52,84.31,116.84,1.5,0.3,11.03
2022,4,13,3.1,6.94,0.3,315.28,57.87,120.66,1.13,0.23,7.89
2022,4,14,5.68,7.76,0.55,288.7,100.24,133.27,1.95,0.38,13.89
2022,4,15,5.87,7.77,0.57,282.84,104.41,135.4,1.99,0.39,14.42
2022,4,16,6.46,8.08,0.62,272.76,115.28,140.99,2.23,0.44,16.2
2022,4,17,5.15,7.85,0.49,278.43,91.5,135.1,1.77,0.35,12.66
2022,4,18,6.09,7.3,0.59,270.42,106.68,125.73,1.94,0.38,14.15
2022,4,19,3.94,6.58,0.38,300.2,69.57,110.09,1.23,0.24,8.9
2022,4,20,4.36,6.1,0.41,300.79,76.3,102.27,1.34,0.27,9.48
2022,4,21,5.53,7.46,0.52,306.95,99.42,130.66,2.02,0.39,13.61
2022,4,22,4.3,7.26,0.41,311.52,79.13,127.76,1.66,0.33,10.87
2022,4,23,5.37,7.88,0.51,293.26,97.47,139.16,2.02,0.39,13.55
2022,4,24,6.31,8.39,0.59,280.28,112.65,145.9,2.43,0.47,15.89
2022,4,25,6.33,7.98,0.59,277.03,112.53,138.67,2.38,0.46,15.46
2022,4,26,5.67,7.68,0.53,286.64,102.05,133.75,2.06,0.4,13.74
2022,4,27,4.65,7.21,0.44,284.74,83.82,124.69,1.56,0.3,11.08
2022,4,28,5.68,7.04,0.53,284.16,98.79,120.02,1.81,0.35,12.7
2022,4,29,4.02,6.94,0.38,296.35,72.8,119.61,1.38,0.27,9.44
2022,4,30,2.92,5.68,0.27,305.48,52.29,91.84,0.78,0.16,5.85
2022,5,1,4.8,6.9,0.45,301.59,85.29,118.22,1.56,0.3,11.03
2022,5,2,2.38,6.78,0.22,309.85,45.21,114.45,0.77,0.16,5.96
2022,5,3,5.06,7.69,0.47,300.24,93.18,136.59,1.87,0.37,13.03
2022,5,4,3.89,7.95,0.36,313.66,74.2,142.54,1.51,0.3,10.52
2022,5,5,4.8,8.01,0.44,303.43,88.29,141.39,1.86,0.37,12.55
2022,5,6,4.31,8.06,0.4,318,82.69,145.06,1.82,0.36,11.97
2022,5,7,4,8.17,0.37,317.16,76.41,146.48,1.68,0.33,11.09
2022,5,8,4.26,7.91,0.39,319.51,80.46,142.05,1.76,0.34,11.56
2022,5,9,5.31,7.58,0.48,308.66,95.76,132.68,2.01,0.39,13.09
2022,5,10,5.08,7.94,0.46,318.99,93.81,142.05,2.05,0.4,13.14
2022,5,11,4.77,8.09,0.44,324.63,90.38,147.2,2.08,0.41,13.02
2022,5,12,5.52,7.91,0.5,322.05,103.71,143.98,2.33,0.45,14.48
2022,5,13,3.38,7.92,0.3,335.72,65.22,142.88,1.59,0.3,9.46
2022,5,14,3.62,8.09,0.33,342.46,70.12,148.87,1.7,0.33,10.09
2022,5,15,3.15,7.53,0.28,339.38,59.89,132.31,1.27,0.25,8.11
2022,5,16,2.63,7.37,0.23,323.61,50.3,130.42,1.06,0.21,6.77
2022,5,17,3.96,7.47,0.36,324.6,73.33,130.58,1.55,0.3,9.85
2022,5,18,5.44,7.92,0.49,318.58,101.19,142.69,2.3,0.44,14.11
2022,5,19,4.05,7.45,0.37,319.2,74.53,130.59,1.45,0.28,9.97
2022,5,20,4.49,7.77,0.41,321.82,83.8,138.09,1.8,0.35,11.43
2022,5,21,3.8,7.84,0.34,320.52,71.55,139.73,1.56,0.3,9.87
2022,5,22,3.71,7.76,0.34,317.88,69.52,135.3,1.42,0.28,9.4
2022,5,23,5.15,7.99,0.46,307.61,95.06,141.47,2.02,0.39,13.12
2022,5,24,5.86,8.17,0.52,304.07,108.5,146.98,2.41,0.46,15.12
2022,5,25,2.89,7.98,0.26,318.78,56.05,143.05,1.23,0.24,7.98
2022,5,26,4.41,8.01,0.39,310.93,82.62,140.7,1.72,0.34,11.4
2022,5,27,4.25,7.77,0.38,303.99,78.03,134.47,1.63,0.32,10.79
2022,5,28,4.26,7.65,0.38,313.14,79.44,135.55,1.71,0.34,10.96
2022,5,29,4.1,7.95,0.37,331.48,77.91,144.41,1.7,0.33,10.9
2022,5,30,4.15,8.32,0.37,332.96,80.58,154.2,1.72,0.34,11.63
2022,5,31,4.52,8.21,0.4,334.58,86.64,150.03,1.84,0.36,12.26
2022,6,1,4.3,7.45,0.38,325.34,80.49,132.39,1.59,0.31,10.9
2022,6,2,4.01,7.04,0.36,328.44,72.88,121.59,1.45,0.28,9.52
2022,6,3,4.08,7.05,0.36,321.37,73.45,121,1.46,0.28,9.66
2022,6,4,3.24,7.46,0.29,326.03,62.45,133.4,1.31,0.26,8.66
2022,6,5,2.8,8.04,0.25,325.48,56.31,147.55,1.3,0.26,8.13
2022,6,6,3.42,6.57,0.3,323.51,62.74,112.62,1.17,0.23,7.77
2022,6,7,3.65,7.52,0.32,332.12,70.15,135.79,1.59,0.31,9.92
2022,6,8,2.87,6.35,0.25,329.73,53.34,108.95,0.99,0.2,6.83
2022,6,9,2.47,6.28,0.22,325.88,47.66,108.48,0.88,0.17,5.95
2022,6,10,2.7,7.34,0.24,336.18,54.45,132.15,1.15,0.23,7.27
2022,6,11,3.76,6.97,0.34,327.01,69.26,121.63,1.41,0.27,9.04
2022,6,12,4.05,6.61,0.36,314.44,73.85,113.45,1.32,0.26,9.16
2022,6,13,4.29,7.47,0.38,325.16,81.66,133.62,1.77,0.34,11.09
2022,6,14,3.12,7.34,0.27,328.42,61.55,131.46,1.31,0.26,8.2
2022,6,15,2.43,6.97,0.21,330.87,48.64,124.94,0.98,0.19,6.55
2022,6,16,2.77,6.82,0.24,328.84,53.9,120.87,1.09,0.21,7.16
2022,6,17,2.42,6.97,0.21,334.79,46.49,122.73,0.98,0.2,6.44
2022,6,18,3.08,7.66,0.27,332.5,60.18,138.22,1.3,0.26,8.5
2022,6,19,3.39,7.71,0.3,326.47,65.48,139.52,1.39,0.27,9.32
2022,6,20,3.95,8,0.35,324.85,76.3,146.48,1.73,0.34,10.91
2022,6,21,3.48,8.08,0.3,325.22,68.52,147.83,1.6,0.31,10.15
2022,6,22,5.17,8.01,0.46,319.91,97.67,145.33,2.15,0.41,13.77
2022,6,23,4.29,8.41,0.38,332.23,82.3,155.05,1.87,0.37,12.02
2022,6,24,4.06,8.18,0.36,332.74,79.13,151.38,1.8,0.35,11.51
2022,6,25,3.69,8.43,0.33,319.24,73.07,156.55,1.72,0.34,10.85
2022,6,26,3.62,8.4,0.32,322.1,72.45,156.99,1.73,0.34,10.82
2022,6,27,4.02,8.52,0.36,326.76,80.2,159.98,2.06,0.4,12.11
2022,6,28,3.27,8.34,0.29,328.82,64.69,156.14,1.55,0.3,9.7
2022,6,29,3.21,8.23,0.28,325.4,63.63,153.04,1.44,0.28,9.45
2022,6,30,4.63,8.15,0.41,325.09,88.95,149.84,2.05,0.4,12.81
2022,7,1,3.52,8.33,0.31,335.59,69.18,154.5,1.6,0.31,10.24
2022,7,2,3.89,8.32,0.34,328.47,75.84,154.85,1.68,0.33,11.09
2022,7,3,4.69,8.55,0.41,323.92,91.2,158.63,2.03,0.4,13.45
2022,7,4,4.69,8.45,0.41,323.63,90.37,156.87,2.01,0.39,13.12
2022,7,5,5.32,8.43,0.48,328.46,101.84,156.54,2.27,0.45,14.71
2022,7,6,5.31,8.47,0.47,324.27,100.84,155.72,2.28,0.45,14.73
2022,7,7,6.03,8.64,0.54,318.84,114.29,159.44,2.56,0.5,16.51
2022,7,8,4.03,8.7,0.36,326.09,78.48,160.59,1.84,0.36,11.7
2022,7,9,5.04,8.45,0.45,321.08,96.55,156.23,2.23,0.44,14.12
2022,7,10,5.34,8.52,0.48,314.16,102.03,157.02,2.36,0.46,14.79
2022,7,11,4.99,8.42,0.45,324.56,95.95,156.05,2.28,0.45,14.01
2022,7,12,5.8,8.36,0.52,319.52,110.24,154.08,2.57,0.49,15.82
2022,7,13,5.16,8.44,0.46,323.84,99.23,156.86,2.45,0.47,14.45
2022,7,14,5.26,8.54,0.47,313.05,99.75,157.16,2.34,0.45,14.45
2022,7,15,6.1,8.58,0.55,306.45,116.21,159.45,2.7,0.52,16.82
2022,7,16,5.63,8.44,0.51,319.96,107.93,156.57,2.61,0.5,15.52
2022,7,17,5.75,8.18,0.52,317.34,109.09,150.13,2.51,0.48,15.51
2022,7,18,3.46,8.19,0.31,337.23,67.84,150.99,1.62,0.31,10.02
2022,7,19,3.89,8.24,0.35,332.43,76.51,154.15,1.86,0.36,11.38
2022,7,20,3.18,8.17,0.29,325.16,64.23,152.66,1.58,0.3,9.66
2022,7,21,4.18,8.38,0.38,317.41,84.31,157.12,2.12,0.41,12.68
2022,7,22,3.59,8.44,0.33,326.87,73.36,158.79,1.91,0.38,11.21
2022,7,23,4.21,8.3,0.38,317.65,85.39,155.12,2.16,0.42,12.72
2022,7,24,3.87,8.3,0.35,327.87,75.93,154.48,1.82,0.36,11.3
2022,7,25,3.69,8.38,0.34,328.44,73.27,157.09,1.72,0.34,10.98
2022,7,26,3.74,8.27,0.34,328.77,73.68,154.01,1.77,0.34,10.95
2022,7,27,3.74,8.11,0.34,328.79,73.51,150.85,1.65,0.32,10.8
2022,7,28,4.11,8.25,0.38,330.2,81.27,155.38,2,0.39,12.11
2022,7,29,3.68,8.13,0.34,330.84,74.03,151.66,1.78,0.35,11.05
2022,7,30,3.4,8.25,0.31,336.19,69.53,154.51,1.76,0.34,10.61
2022,7,31,2.95,7.79,0.27,323.23,59.78,144.32,1.41,0.27,8.91
2022,8,1,2.53,7.87,0.23,328.08,51.73,146.64,1.24,0.24,7.84
2022,8,2,3.65,8.01,0.34,326.47,72.51,150.38,1.75,0.34,10.81
2022,8,3,4.16,8.14,0.38,316.98,81.61,152.11,1.93,0.38,12.12
2022,8,4,4.45,7.93,0.41,319.77,86.24,146.7,1.92,0.38,12.52
2022,8,5,4.9,8,0.45,326.72,94.23,148.8,2.24,0.44,13.73
2022,8,6,4.43,7.78,0.41,324.79,85.7,143.91,2.01,0.39,12.45
2022,8,7,5.31,8.15,0.49,324.16,101.22,151.11,2.39,0.46,14.67
2022,8,8,4.63,8.21,0.43,317.93,90.02,153.1,2.14,0.42,13.28
2022,8,9,5.09,8.07,0.48,324.35,96.2,148.5,2.3,0.45,14
2022,8,10,3.44,8.06,0.32,332.33,67.53,150.05,1.66,0.32,10.1
2022,8,11,5.27,8.27,0.49,316.33,100.23,152.9,2.38,0.46,14.58
2022,8,12,6.28,8.18,0.59,304.4,116.97,149.12,2.72,0.52,16.75
2022,8,13,6.08,8,0.57,315.82,114.02,147.8,2.57,0.5,16.26
2022,8,14,3.82,8,0.36,334.04,75.08,149.5,1.84,0.36,11.29
2022,8,15,4.82,8.02,0.45,323.88,93.56,149.01,2.21,0.43,13.79
2022,8,16,6.08,8.12,0.58,310.24,115.23,150.79,2.7,0.52,16.62
2022,8,17,4.66,7.89,0.45,326.84,89.66,146.24,2.15,0.41,13.2
2022,8,18,4.8,7.62,0.46,329.01,91.34,140,2.02,0.39,12.95
2022,8,19,4.02,7.64,0.38,326.3,76.96,140.53,1.84,0.36,11.27
2022,8,20,4.53,7.77,0.44,324.45,88.2,143.53,2.12,0.41,12.95
2022,8,21,5.03,7.82,0.48,322.95,95.61,144.68,2.23,0.44,13.86
2022,8,22,5.1,7.76,0.49,316.93,96.98,143.14,2.18,0.43,13.96
2022,8,23,3.77,7.8,0.37,323.99,72.61,145.4,1.74,0.34,10.73
2022,8,24,5.56,7.81,0.54,314.54,105.5,144.99,2.41,0.47,15.08
2022,8,25,5.9,7.81,0.57,305.32,109.96,142.6,2.6,0.5,15.77
2022,8,26,4.99,7.58,0.48,319.27,93.98,138.38,2.16,0.42,13.56
2022,8,27,3.62,7.18,0.35,331.36,70.33,132.2,1.63,0.32,10.17
2022,8,28,3.69,7.24,0.36,326.98,75.2,134.75,1.8,0.36,11.23
2022,8,29,3.68,7.17,0.36,327.99,73.77,132.94,1.74,0.34,10.84
2022,8,30,3.5,7.23,0.34,326.12,69.6,133.96,1.62,0.32,10.24
2022,8,31,3.13,7.34,0.31,324.7,63.23,136.98,1.52,0.3,9.46
2022,9,1,3.5,6.83,0.35,321.1,68.82,125.07,1.57,0.3,9.9
2022,9,2,3.46,6.98,0.34,334.76,67.51,127.49,1.49,0.3,9.8
2022,9,3,3.25,6.94,0.33,329.91,63.09,127.52,1.35,0.27,9.2
2022,9,4,3.6,6.97,0.36,326.17,69.21,127.88,1.55,0.3,10.05
2022,9,5,3.69,6.55,0.38,316.59,69.06,117.47,1.43,0.28,9.74
2022,9,6,3.01,6.77,0.3,331.39,59.3,122.8,1.27,0.25,8.54
2022,9,7,3.64,6.76,0.37,334.37,69.96,122.91,1.54,0.3,10.06
2022,9,8,3.01,6.86,0.3,334.28,59.23,125.72,1.34,0.27,8.7
2022,9,9,2.29,6.72,0.23,320.77,44.83,121.64,1.03,0.2,6.57
2022,9,10,3.89,7.12,0.4,326.94,74.78,130.8,1.7,0.34,10.91
2022,9,11,4.33,7.1,0.45,323.96,82.52,131.05,1.8,0.35,11.88
2022,9,12,3.43,6.93,0.36,320.63,66.03,126.97,1.45,0.29,9.59
2022,9,13,2.98,6.93,0.31,327.45,59.33,129.22,1.43,0.28,8.85
2022,9,14,3.26,6.93,0.34,328.89,63.65,128.52,1.45,0.28,9.32
2022,9,15,3.66,6.6,0.38,325.3,70.14,120.52,1.49,0.3,10.01
2022,9,16,3.76,6.59,0.4,323.54,71.27,120.15,1.55,0.3,10.18
2022,9,17,3.52,6.45,0.38,323.86,67.42,117.01,1.42,0.28,9.52
2022,9,18,4.37,6.38,0.47,320.4,80.52,115.53,1.59,0.31,11.12
2022,9,19,3.98,6.26,0.43,318.57,74.04,112.84,1.51,0.3,10.24
2022,9,20,4.06,6.58,0.44,320.73,76.23,120.25,1.62,0.32,10.79
2022,9,21,4.11,6.67,0.45,311.43,76.09,120.89,1.65,0.32,10.73
2022,9,22,4.2,6.67,0.45,318.35,78.36,121.22,1.68,0.33,11.19
2022,9,23,3.2,6.36,0.35,323.51,60.77,115.31,1.28,0.26,8.73
2022,9,24,3.11,6.22,0.34,323.8,58.82,112.59,1.24,0.24,8.38
2022,9,25,3.24,6.16,0.36,308.55,61.02,110.84,1.27,0.25,8.7
2022,9,26,2.89,6.08,0.32,313.55,54.87,108.27,1.13,0.23,7.77
2022,9,27,3.56,6.05,0.4,326.61,66.45,109.44,1.37,0.27,9.28
2022,9,28,3.97,6.17,0.45,318.41,74.16,111.92,1.52,0.3,10.38
2022,9,29,4.04,6.2,0.45,312.1,73.97,110.65,1.54,0.3,10.33
2022,9,30,3.76,6.22,0.43,321.23,69.34,111.14,1.42,0.27,9.73
2022,10,1,4.31,6.42,0.49,315.66,79.96,116.24,1.65,0.32,11.28
2022,10,2,4.91,6.35,0.56,299.06,89.13,114.35,1.75,0.34,12.47
2022,10,3,4.95,6.29,0.57,300.78,91.13,115.27,1.87,0.36,12.74
2022,10,4,2.1,6.4,0.24,323.07,42.11,119.49,1.05,0.2,6.47
2022,10,5,2.78,6.19,0.32,324.62,53.86,115.23,1.26,0.24,7.98
2022,10,6,2.45,6.16,0.29,313.35,47.93,113.42,1.15,0.22,7.2
2022,10,7,3.62,6.09,0.43,313.1,68.42,111.98,1.46,0.28,9.77
2022,10,8,3.64,6.14,0.43,320.91,68.86,113.09,1.51,0.29,9.98
2022,10,9,3.04,6.19,0.36,316.12,58.05,114.33,1.29,0.25,8.59
2022,10,10,2.62,6.12,0.31,318.89,50.59,113.59,1.12,0.21,7.56
2022,10,11,2.79,5.56,0.34,312.34,52.12,100.27,1.1,0.21,7.49
2022,10,12,1.82,5.88,0.22,316.93,35.6,107.48,0.8,0.15,5.31
2022,10,13,3.47,6.08,0.42,306.97,65.2,111.4,1.32,0.26,9.34
2022,10,14,5.23,6.28,0.64,268.29,93.03,110.61,1.79,0.34,12.98
2022,10,15,5.84,6.4,0.72,255.91,102.66,112.2,1.97,0.38,14.12
2022,10,16,5.61,6.41,0.7,256.82,98.85,112.17,1.85,0.36,13.51
2022,10,17,5.51,6.33,0.69,251.53,97.09,110.87,1.82,0.35,13.3
2022,10,18,4.65,6.31,0.59,257.55,82.15,109.61,1.56,0.3,11.42
2022,10,19,4.31,5.92,0.55,267.76,75.8,102.47,1.38,0.27,10.35
2022,10,20,4.46,5.48,0.57,256.52,76.39,93.3,1.32,0.26,10.11
2022,10,21,5.33,6.11,0.69,245.67,93.89,106.85,1.69,0.33,12.82
2022,10,22,5.22,6.27,0.67,242.22,91.41,108.84,1.65,0.32,12.57
2022,10,23,5.04,6.13,0.66,253.33,89.96,108.38,1.65,0.32,12.48
2022,10,24,4.85,5.84,0.63,252.77,88.01,105.36,1.68,0.32,12.2
2022,10,25,3.97,5.73,0.52,277.17,71.27,101.95,1.38,0.27,9.91
2022,10,26,4.09,5.18,0.55,282.54,70.65,88.7,1.33,0.25,9.52
2022,10,27,4.04,5.11,0.54,284.45,69.63,87.5,1.26,0.24,9.33
2022,10,28,3.87,5.03,0.52,275.97,66.03,85.03,1.15,0.22,8.8
2022,10,29,5.23,5.62,0.71,252.59,92.93,99.75,1.63,0.32,12.62
2022,10,30,5.48,5.73,0.75,249.02,97.77,102.24,1.72,0.34,13.27
2022,10,31,5.5,5.63,0.75,250.06,97.93,100.6,1.75,0.34,13.17
2022,11,1,5.32,5.64,0.73,247.39,94.74,100.48,1.73,0.34,12.76
2022,11,2,5.41,5.72,0.75,243.3,95.53,101.07,1.7,0.33,12.89
2022,11,3,5.32,5.64,0.74,245.56,94.75,100.5,1.66,0.32,12.8
2022,11,4,4.93,5.49,0.7,247.3,87.73,97.81,1.5,0.3,11.84
2022,11,5,5.25,5.48,0.74,247.38,94.2,98.57,1.55,0.3,12.69
2022,11,6,4.71,5.47,0.67,254,83.87,97.3,1.42,0.28,11.38
2022,11,7,4.18,5.27,0.6,275.82,75.72,94.92,1.33,0.26,10.31
2022,11,8,4.15,5.11,0.6,270.04,72.96,89.45,1.27,0.24,9.84
2022,11,9,4.27,4.85,0.62,253.8,71.77,81.63,1.15,0.23,9.45
2022,11,10,4.26,4.95,0.62,264.78,74.3,86.32,1.17,0.23,9.91
2022,11,11,3.39,5.11,0.5,269.08,59.31,88.42,0.94,0.19,8.18
2022,11,12,3.28,4.45,0.48,269.83,54.3,72.97,0.78,0.16,7.07
2022,11,13,3.48,4.42,0.52,260.39,58.32,73.98,0.82,0.16,7.59
2022,11,14,3.83,4.39,0.58,261.37,65.18,74.82,0.95,0.19,8.45
2022,11,15,4.03,4.77,0.61,266.78,70.34,83.21,1.02,0.2,9.37
2022,11,16,3.45,4.51,0.52,268.7,58.53,75.77,0.89,0.18,7.83
2022,11,17,3.41,4.57,0.52,273.58,58.41,77.61,0.87,0.17,7.84
2022,11,18,3.79,4.59,0.58,258.22,65.45,79.09,0.99,0.2,8.73
2022,11,19,4.78,4.97,0.73,242.22,84.23,87.91,1.26,0.25,11.19
2022,11,20,4.93,5.03,0.77,237.27,87.23,89.38,1.32,0.27,11.59
2022,11,21,4.85,4.99,0.76,241.23,84.7,87.51,1.27,0.25,11.19
2022,11,22,4.5,4.9,0.7,242.9,78.32,85.68,1.19,0.23,10.38
2022,11,23,4.04,4.9,0.63,254.79,70.47,85.52,1.07,0.21,9.46
2022,11,24,4.61,4.92,0.73,244.52,80.33,86.06,1.2,0.23,10.55
2022,11,25,4.67,4.89,0.74,240.91,80.99,85.15,1.23,0.24,10.77
2022,11,26,4.64,4.73,0.74,239.71,80.21,82.1,1.2,0.23,10.53
2022,11,27,4.36,4.57,0.7,239.04,74.67,78.7,1.15,0.23,9.82
2022,11,28,4.31,4.56,0.7,241.36,73.83,78.52,1.09,0.22,9.71
2022,11,29,4.62,4.75,0.75,240.56,80.16,82.99,1.14,0.23,10.54
2022,11,30,4.69,4.8,0.77,233.85,80.71,82.95,1.16,0.23,10.55
2022,12,1,4.55,4.78,0.74,240.59,78.66,83.12,1.19,0.23,10.34
2022,12,2,4.51,4.67,0.74,234.29,78.09,81.41,1.09,0.22,10.21
2022,12,3,4.42,4.72,0.73,234.45,75.37,80.91,1.09,0.22,9.86
2022,12,4,4.07,4.67,0.67,243.43,70.11,80.55,1.02,0.2,9.23
2022,12,5,4.4,4.67,0.73,244.09,76.38,81.37,1.09,0.22,9.98
